graph,seed,n_bees,max_steps,n_chance,max_iter,flip,fitness,conflicts,colors,runtime,solution
test1.txt,42,20,10,3,20,5,4952,10,12,1.5648,"[10  4  9  8  5  9 10 11  7 11  7  1  4  4  8  1  3  1  5  2  8  5  5  2
 12  5  1 11 10  6  7  9  5  3 11  3 12  5  3 12 11  4  2  3  5  1  7  4
  1  7  5  4  2 12  2  8  1  7  2  2  2  9  2  7 11  5  3  9  4  2  5  4
 10 12  6  3  7  7  2 12  6  2  3  9  6  6 12  6  9  5 10  5  8  7  9 12
  3  4  5  1 12  8 12  8  9 12  8  5  5  3  1  8 12  3  1  9  5 12  7 10
  8  5  4  6  8  1  8 10  4  7 11  5  6 12  8 11 12  4]"
test1.txt,42,20,15,3,20,3,1000,2,12,1.8317,"[ 6  4 11  3  5  7 11  3  7  8 11  8 10  2  8  9  3  6 12  2  8  4  2 10
  6  5  1  7 10  6  2  9  5 10 11  4  2 12  3  4 10  4  8  3  5  7  7  5
  1  7  2  6  9 12  9 10  4  6  5  2  6 12  5  2 12  8  4 11  4  2  8 11
  8  4  5  1  6 11  8  8 12  7 11  4 10  7 12  5  2  5  2  5  8  3  9 12
  3 12 10  8  3  8 11  5  1  3  8  7  8  3  1  7 11  3 12  5  5  8  7 10
 10  1  7  2  8  4  7  1  7  1  8  5  9 12  8  3 11  3]"
test1.txt,42,50,5,3,20,3,6434,13,12,2.0265,"[ 7  9 11  8  2  7 11 11  7  3  7  3  5  7  8  8  5  6  5  6  8 12  8  1
 12  1  2 12  4  6 12  4 11 11  2 10 12 11  3 12  1  4  9  5 11  1  7  5
 11 10  2  4 11  6  2  1  9 10  1  2  4  5 12  7  2  8  3  2  4  3  1  4
  2  3  8 11 11  1  3  4  5  9  6 11  2  1 12  9  7  5  2  7  8 10  5 12
 12 11  9  1  4  7  9  6  1 12  3 11 11 10  1  8  8  8  1  8  5 10 12 10
  9  2  7  9 12 11  2  2  7  7  2  5  3  5  8  9 12  3]"
test1.txt,42,20,15,3,20,7,1494,3,12,1.9523,"[12 12 11  8  5  3 10  2 12 11 10  2  5  4  1 11  3  6  4  2  8  2  9  8
  8  5  2 12  4  1 12 10  1 11 11  4  7  6  3  3  7  4  3  4  5  5  2  5
  9  2 12  8  9 12  2 10  4  9  5  2  4  1 12 10  6  8  3  1  4  2  2  5
  1  9  2 10  6 11  3 10 12  8  8 11  7  7 12  7  2  5  2  1 10 10  7 12
 12 12  1  9  9  7  9  8  1  2  4 11  4  3  1  8  5  7  3 11  5  8  7  4
  9 12  7  3  8 12 10  7  7  7  8  5  3 10 10  6  3  3]"
test1.txt,42,20,10,1,20,7,2482,5,12,1.2240,"[ 2  4 11  8 10  7  9  9  7 11 11 12  5  4  5  8  3  6  8  2  8  2  7 12
  3 12 11  7  1  6 12  7 12 11 11  4 12 12  3  2  7  4 12  3  8  8 12  5
  9  8  2  2  9  6  2 10 11 10  2  2  6  1 12 10  4  8  3 12  4  8 10 11
  2 10  7 10  4 11  8 10 12  3  9  4 11  7 12  9  3  5  2  5  2 10  9  1
 12  5  7  1  9  7  1  8  1  7  8  1  1  6  1  8  4  3  1 11  9 10  7  3
  9 10  7  2  8 12  2  1  7  7  2  8  3  1  8  6  7  5]"
test1.txt,42,50,10,1,20,7,1494,3,12,3.7321,"[ 8  8 11  8  5  1 10 11  9 11 11  8  5  4  5  1  3  6  5  2  8  6 10  2
 12  5  1 12  1  7 12  1  7 11 11  6 12 12  3 12  7  4  8  7  5  4  7  5
  9 12  3  3  9 10  2 10  3 11  5  2  4  7 12  8  2  8  3  1  9  2  9  4
 12 12  8 10  7  9  8  2  8  2 10  9 10  3 12 10  1  5  2 11  3  2  9  5
 12 12 11  5  9  6  9  7  2 12  5  5  2  3  1 12  8  4  1  5  5  2  7  7
  1  7  7  4  8 12  4 12  7  7  8  5  3  5 12  4 11  3]"
test1.txt,42,50,15,5,20,7,506,1,12,2.9140,"[12  8 11  8  5  7  7  2 11 11  1  8  5  4  1  9  3  6  5  2  8  5  4  7
 12  5  1  7  4  7 12  9  1 11 11  4  3 12  7 11  7  4  3  2  5  5  7  5
  9  2 12 12  9  8 12 10 12  1  5  2  4 12 12 10  7  8  7  1  4 10  2  2
  8 12  9 10  5 11  5 10  9  2 10 12  7  3  7  9  9  5  2  1  3 10  9 12
 12 12  1  7  1  7  9  6  1 10  3  1  7  3  1  8  5 11  1 11  5 11  7  4
  2  7  7  4  8 12 10  5  7  7 12  5  3 10  8  6  6  3]"
test1.txt,42,50,15,3,20,5,506,1,12,3.0311,"[ 7 10 11  8  5  7  2  1  7 11 11 11  5  4  8  8  6  6  5  2  8  7  3  2
 11  5  3 12 10  7 11 11 10 11 11  1  3 12  3 12  7  9  9  3  5 11 11  5
  9  7  2  9  9 12  2 10  9 10  5  2  4  2 12  7 12  3  9  1  4  6  8  4
  7  9  1 10  2 12  2 10 12  6 10  2  2  3 10  9 11  5  5  4  8  5  9 12
 10 12  7  8  3 10  9  8  1  6 12 10  6  3  1  8  3  8 11 11 10  8  7  6
  9  6  7 10 11 12 12  1  7  7  8 12  3 12  8  4  8  3]"
test1.txt,42,50,15,1,20,3,12362,25,12,2.5148,"[ 6  7  5  4  5  7  6  3  7  6 11  8  7  4  8  7  3  6  1  2  8 11  5  2
  2  5  1  7 10 12  5  9  7 11 11  1  1 12  3  9  7  4  1  3  5 12 12  5
 10  7  2 11  9 11 10 10  6  4  5  2 11  4 12  9 12  8  7  7  4 12  8  4
  8  6 12  4  8 11  9 10 10 10 10  3  8  6 12  3  2  5  5  9  8  7  9 12
  2 12  5  5 11  7  4  3  1  1  8  7  4  3  1  5  3 10  4 11  5 10  7 10
  5  8  3 12  8 12  1  1  7  1  8  5  1 12  8 11  7  3]"
test1.txt,42,10,10,3,50,3,11374,23,12,1.7928,"[ 9  5  6 10  1  8 11  6  1  8  2 10  9  5  2 10  2  4  4 10 11  6  5 10
  3 12  3  2  1  7 11  6  6 12  8 10  8  4 10  4  3  5  8  1  3  4  7 12
  4 12 12  7  5 10  6  2  5  7  2  1  5  2  3  4  7  2  6  1  2  4  9  1
  8 12  1 10  7  8  8  3  8  1  7  3 12  6 11 11  2  1  5  6  4 12  5 11
  2  8  6  8 12  5  1  2  5  8 11  8 11  6  6  7  1 11  7  9 11  7 11  8
  1  3  7  8  9  3  8  8  2  8  5 10  8 11  3  2  6 12]"
